bairro;codB;grupo;n;proporção;pop;dens;rendaSM;ids;amostra;perc
Tijuca;33;1;41;0,08470;163648;0,25053774;4,539;0,706;72;1,361111111
Laranjeiras;17;1;9;0,08650;45554;0,197567722;6,365;0,75;70;1,3
Copacabana;24;1;20;0,03850;146392;0,136619487;5,91;0,731;51;1,111111111
Botafogo;20;1;14;0,03720;82890;0,16889854;5,907;0,733;45;1,518518519
Campo Grande;144;1;58;0,12660;328370;0,176630021;1,447;0,572;39;1,64957265
Vila Kosmos;36;1;1;0,03130;86018;0,011625474;3,243;0,667;38;1,219298246
Méier;63;1;18;0,12860;49828;0,361242675;3,606;0,687;35;1,438095238
Flamengo;15;1;8;0,06670;50043;0,159862518;6,926;0,752;34;1,225490196
Barra da Tijuca;128;1;19;0,02970;136831;0,138857423;8,551;0,77;32;1,5625
Bangu;141;1;21;0,10770;244728;0,085809552;1,149;0,57;30;1,988888889
Taquara;122;1;9;0,05660;102126;0,088126432;2,068;0,612;30;1,8
Freguesia;120;1;7;0,08540;19437;0,360137881;3,284;0,64;28;1,607142857
Jardim Guanabara;99;1;5;0,11630;32213;0,155216838;4,527;0,72;27;1,679012346
Ipanema;25;1;11;0,05980;42743;0,257352081;8,831;0,77;25;1,08
Recreio dos Bandeirantes;132;1;3;0,02680;84224;0,035619301;4,379;0,659;25;1,44
Jacarepaguá;115;1;11;0,14670;157326;0,069918513;1,509;0,554;23;1,710144928
Olaria;42;1;4;0,06670;57514;0,069548284;1,724;0,611;21;1,69047619
Penha;43;1;11;0,09090;78678;0,139810366;1,286;0,584;20;1,616666667
Santa Teresa;14;1;4;0,12900;40926;0,09773738;2,18;0,624;20;2,95
Grajaú;38;1;9;0,16360;38671;0,232732539;3,894;0,688;19;1,561403509
Irajá;76;1;106;0,62350;96382;1,099790417;1,813;0,615;19;1,333333333
Manguinhos;39;1;2;0,07140;36160;0,055309735;0,68;0,518;19;2,824561404
Pechincha;121;1;0;0,00000;34709;0;3,079;0,653;19;1,859649123
Andaraí;37;1;8;0,14810;39365;0,203226216;3,294;0,666;18;1,277777778
Humaitá;21;1;3;0,18750;13285;0,225818592;6,913;0,761;17;1,137254902
Ramos;41;1;10;0,14290;40792;0,245146107;1,614;0,609;16;2,166666667
Engenho de Dentro;66;1;6;0,12500;45540;0,131752306;1,977;0,612;15;1,955555556
Maracanã;35;1;3;0,02420;25256;0,118783655;4,794;0,722;15;1,444444444
Praça Seca;124;1;6;0,11760;64147;0,093535161;1,817;0,607;15;1,8
Realengo;139;1;14;0,11570;180123;0,077724666;1,248;0,574;15;2,266666667
Cachambi;65;1;6;0,05560;42415;0,141459389;2,666;0,654;14;1,571428571
Rocha Miranda;86;1;4;0,16670;44188;0,090522314;1,34;0,585;14;1,880952381
Bonsucesso;40;1;8;0,05880;18711;0,427555983;1,76;0,612;13;2,102564103
Brás de Pina;45;1;5;0,15630;59222;0,084428084;1,431;0,594;13;1,846153846
Pavuna;114;1;1;0,02700;97350;0,010272214;1,063;0,563;13;2,025641026
